x,y,value
T098,K Teetan,0
T098,H T Mo,0
T098,B Prebble,0
T098,J Moreira,0
T098,D Whyte,0
T098,M L Yeung,0
T098,C Y Ho,0
T098,H W Lai,0
T098,Y T Cheng,0
T098,C Schofield,0
T098,S de Sousa,0
T098,U Rispoli,0
T098,C Williams,0
T098,L Corrales,0
T098,O Murphy,0
T098,G Mosse,0
T098,T Berry,0
T098,H Bowman,0
T098,C Soumillon,0
T098,D Lane,0
T098,M Barzalona,0
T098,F Geroux,0
T098,P Smullen,0
T098,G Lerena,0
T098,M Demuro,0
T098,R Moore,0
T098,K Tosaki,0
T098,N Juglall,0
T098,T Clark,0
T098,A Badel,0
T098,M Guyon,0
T098,Y Iwata,0
T098,Y Take,0
T098,R Myers,0
T098,S Pasquier,0
T098,B Vorster,0
T098,B Melham,0
T098,G Lee,0
T098,Y Kawada,0
T098,D O'Brien,0
T098,P-C Boudot,0
T098,G Schofield,0
T098,H Lam,0
T098,M Wepner,0
T098,C Perkins,0
T098,R Curatolo,0
T098,W L Ho,0
T098,M F Poon,0
T098,W M Lai,0
T098,O Peslier,0
T098,C Murray,0
T098,A Sanna,0
V150,O Doleuze,0
V150,N Rawiller,0
V150,O Bosson,0
V150,H N Wong,0
V150,M Chadwick,0
V150,T H So,0
V150,Z Purton,0
V150,K C Ng,0
V150,S Clipperton,0
V150,K K Chiong,0
V150,K C Leung,0
V150,N Callan,1
V150,K Teetan,0
V150,H T Mo,0
V150,B Prebble,0
V150,J Moreira,0
V150,D Whyte,0
V150,M L Yeung,0
V150,C Y Ho,0
V150,H W Lai,0
V150,Y T Cheng,0
V150,C Schofield,0
V150,S de Sousa,0
V150,U Rispoli,0
V150,C Williams,1
V150,L Corrales,0
V150,O Murphy,0
V150,G Mosse,0
V150,T Berry,0
V150,H Bowman,0
V150,C Soumillon,0
V150,D Lane,0
V150,M Barzalona,0
V150,F Geroux,0
V150,P Smullen,0
V150,G Lerena,0
V150,M Demuro,0
V150,R Moore,0
V150,K Tosaki,0
V150,N Juglall,0
V150,T Clark,0
V150,A Badel,0
V150,M Guyon,0
V150,Y Iwata,0
V150,Y Take,0
V150,R Myers,0
V150,S Pasquier,0
V150,B Vorster,0
V150,B Melham,0
V150,G Lee,0
V150,Y Kawada,0
V150,D O'Brien,0
V150,P-C Boudot,0
V150,G Schofield,0
V150,H Lam,0
V150,M Wepner,0
V150,C Perkins,0
V150,R Curatolo,0
V150,W L Ho,0
V150,M F Poon,0
V150,W M Lai,0
V150,O Peslier,0
V150,C Murray,0
V150,A Sanna,0
S263,O Doleuze,0
S263,N Rawiller,0
S263,O Bosson,0
S263,H N Wong,0
S263,M Chadwick,0
S263,T H So,0
S263,Z Purton,0
S263,K C Ng,0
S263,S Clipperton,0
S263,K K Chiong,0
S263,K C Leung,0
S263,N Callan,0
S263,K Teetan,0
S263,H T Mo,0
S263,B Prebble,0.5
S263,J Moreira,0
S263,D Whyte,0
S263,M L Yeung,0
S263,C Y Ho,0
S263,H W Lai,0
S263,Y T Cheng,0
S263,C Schofield,0
S263,S de Sousa,0
S263,U Rispoli,0
S263,C Williams,0
S263,L Corrales,0
S263,O Murphy,0
S263,G Mosse,0
S263,T Berry,0
S263,H Bowman,0
S263,C Soumillon,0
S263,D Lane,0
S263,M Barzalona,0
S263,F Geroux,0
S263,P Smullen,0
S263,G Lerena,0
S263,M Demuro,0
S263,R Moore,0
